"Source:","/Applications/XAMPP/xamppfiles/htdocs/led_matrix_8x4_module/kicad/led_matrix_8x4_module.kicad_sch"
"Date:","Wednesday, 02 March 2022 at 10:20:02"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100uf","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C2","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C3","33uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C4","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D3","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D4","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D5","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D6","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D7","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D8","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D9","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D10","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D11","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D12","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D13","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D14","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D15","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D16","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D17","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D18","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D19","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D20","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D21","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D22","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D23","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D24","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D25","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D26","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D27","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D28","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D29","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D30","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D31","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D32","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","J1","Conn_01x04","Connector:Conn_01x04_Female","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Horizontal","~"
"","","J2","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Horizontal","~"
